page_id,hero,sections_count,tabs,navigation
main-hall,cinematic arrival; headline; primary CTA,4,,primary nav ; account entry ; room navigation
login,welcome composition,3,,back to hall ; register
register,invitation composition,3,,login ; back to hall
listings,listings room establishing shot,5,for sale ; for rent ; other applicable listing states,
property-gallery,property establishing shot,5,overview ; gallery ; location ; details,
map,map-room establishing shot,4,,
profile,private-suite establishing shot,4,property ; messages ; list property,
finance,office establishing shot,4,,
messages,lounge establishing shot,3,,
favorites,archive establishing shot,3,,
broker,library/office establishing shot,4,,
settings,control-room establishing shot,5,,
