element_type,element_id,attribute,reference,name,present
texture,,image,17,Grass darker,True
texture,,image,0,Cloudy,True
pieceOfFurniture,pieceOfFurniture-119b1c57-c194-42a2-b267-1272d4d38f6f,model,96/wardrobe.obj,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-119b1c57-c194-42a2-b267-1272d4d38f6f,icon,97,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-bd5b6350-f7f5-48f0-b389-577178f0e295,model,96/wardrobe.obj,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-bd5b6350-f7f5-48f0-b389-577178f0e295,icon,97,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-8c4a3aec-de96-45c8-b4e7-ee95ae9e51b6,model,96/wardrobe.obj,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-8c4a3aec-de96-45c8-b4e7-ee95ae9e51b6,icon,97,Wardrobe,True
pieceOfFurniture,pieceOfFurniture-d18c0117-d566-460f-9e33-910f2fe20a8a,model,94/squareTable.obj,Square table,True
pieceOfFurniture,pieceOfFurniture-d18c0117-d566-460f-9e33-910f2fe20a8a,icon,95,Square table,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-f9956c12-c3eb-4de7-9303-dbf5b976a5ef,model,91/clothesWasher.obj,Clothes washer,True
pieceOfFurniture,pieceOfFurniture-f9956c12-c3eb-4de7-9303-dbf5b976a5ef,icon,92,Clothes washer,True
pieceOfFurniture,pieceOfFurniture-4aff1eda-4602-4b66-b7f5-fba121aa6657,model,89/curveStaircase.obj,Curve staircase,True
pieceOfFurniture,pieceOfFurniture-4aff1eda-4602-4b66-b7f5-fba121aa6657,icon,90,Curve staircase,True
texture,,image,88,Pine,True
pieceOfFurniture,pieceOfFurniture-b5d8c63a-c8cf-4aab-9d46-f89527a4d999,model,86/texturableCylinder0.obj,Cylinder,True
pieceOfFurniture,pieceOfFurniture-b5d8c63a-c8cf-4aab-9d46-f89527a4d999,icon,87,Cylinder,True
pieceOfFurniture,pieceOfFurniture-b2f9f1c3-fe23-45e0-a4cd-fe94514cfe08,model,86/texturableCylinder0.obj,Cylinder,True
pieceOfFurniture,pieceOfFurniture-b2f9f1c3-fe23-45e0-a4cd-fe94514cfe08,icon,87,Cylinder,True
pieceOfFurniture,pieceOfFurniture-5e31c04d-458b-4503-ace4-319c15eec25e,model,86/texturableCylinder0.obj,Cylinder,True
pieceOfFurniture,pieceOfFurniture-5e31c04d-458b-4503-ace4-319c15eec25e,icon,87,Cylinder,True
doorOrWindow,doorOrWindow-50af547e-1477-4ac2-978b-94bafaa4b1f0,model,84/doorFrame.obj,Door frame,True
doorOrWindow,doorOrWindow-50af547e-1477-4ac2-978b-94bafaa4b1f0,icon,85,Door frame,True
doorOrWindow,doorOrWindow-724e7351-4c29-48b3-8190-11a67981880f,model,84/doorFrame.obj,Door frame,True
doorOrWindow,doorOrWindow-724e7351-4c29-48b3-8190-11a67981880f,icon,85,Door frame,True
doorOrWindow,doorOrWindow-e08e453f-611e-4309-a5b3-f8d268b9e065,model,82/fixedWindow85x123.obj,Fixed window,True
doorOrWindow,doorOrWindow-e08e453f-611e-4309-a5b3-f8d268b9e065,icon,83,Fixed window,True
