node_id,level,label,kind,status,component_id
add-level0::Hall,add-level0,Hall,room,,0
add-level0::Kitchen,add-level0,Kitchen,room,,0
add-level0::Office,add-level0,Office,room,,0
add-level0::add-room-6530c4e3-46ae-4540-8450-058d3e106505,add-level0,add-room-6530c4e3-46ae-4540-8450-058d3e106505,room,,0
add-level0::add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,add-level0,add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,room,,0
add-level0::add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,add-level0,add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,room,,0
add-level1::Bathroom,add-level1,Bathroom,room,,1
add-level1::Bedrom_3,add-level1,Bedrom_3,room,,1
add-level1::Bedroom_1,add-level1,Bedroom_1,room,,1
add-level1::Bedroom_2,add-level1,Bedroom_2,room,,1
add-level1::Bedroom_3,add-level1,Bedroom_3,room,,1
add-level1::Dressing,add-level1,Dressing,room,,1
add-level1::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,add-level1,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,room,,1
add-level1::add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,add-level1,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,room,,1
add-level1::add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,add-level1,add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,room,,1
add-level1::add-room-c8146434-9569-4080-8d3a-350d81aef4e9,add-level1,add-room-c8146434-9569-4080-8d3a-350d81aef4e9,room,,1
add-level1::add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,add-level1,add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,room,,1
level0::Garage,level0,Garage,room,,2
level0::room-06eb2ac4-2276-41f1-9991-070a76a486ee,level0,room-06eb2ac4-2276-41f1-9991-070a76a486ee,room,,2
level0::room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81,level0,room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81,room,,2
level0::room-827607f6-2341-4fed-b6e2-d6114aa32093,level0,room-827607f6-2341-4fed-b6e2-d6114aa32093,room,,2
level1::Bedroom_1,level1,Bedroom_1,room,,3
level1::Bedroom_2,level1,Bedroom_2,room,,3
level1::Corridor,level1,Corridor,room,,3
level1::Kitchen,level1,Kitchen,room,,3
level1::Living_room,level1,Living_room,room,,3
level1::room-48f42ffe-7f73-44f3-a3e2-090c678f636e,level1,room-48f42ffe-7f73-44f3-a3e2-090c678f636e,room,,3
level1::room-b437b24d-c9c1-47e0-aafd-aba247c86e34,level1,room-b437b24d-c9c1-47e0-aafd-aba247c86e34,room,,3
level1::room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e,level1,room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e,room,,3
HOUSE1::BOUNDARY,level1,HOUSE1_BOUNDARY,house_boundary,CANDIDATE,4
HOUSE2::BOUNDARY,add-level0,HOUSE2_BOUNDARY,house_boundary,CANDIDATE,5
HOUSE3::BOUNDARY,add-level1,HOUSE3_BOUNDARY,house_boundary,CANDIDATE,6
