page,route,room,pov,allowed_environment_themes,ui_theme_compatibility,role_state,physical_ui_objects,responsive_state,data_surface,access_policy,security_authority,public_projection,camera_security_boundary,responsive_gate,deployment_gate,animation_profile,object_state_contract,responsive_transform_root
main-hall,index.html,MAIN HALL,H-01,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,home-hero-focal,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,cinematic,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-02,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,main-search-console,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,emphasis,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-03,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,property-catalogue,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,emphasis,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-04,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,home-map-table,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,cinematic,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-05,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,government-info-desk,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,emphasis,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-06,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,mission-wall,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-07,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,guide-book,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-08,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,safety-board,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
main-hall,index.html,MAIN HALL,H-09,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,public,start-cta|contact-desk|credits-wall,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,public reference surfaces; listings/gov/map,public,Firestore rules + public collections/callables,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,cinematic,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
login,login.html,LOGIN ROOM,L-01,"day,night,rain,mist",environment-driven; no fixed light/dark branch,public,login-identity-terminal,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,auth entry + phone availability,public/auth-entry,Auth + callable authority + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
login,login.html,LOGIN ROOM,L-02,"day,night,rain,mist",environment-driven; no fixed light/dark branch,public,login-recovery-control,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,auth entry + phone availability,public/auth-entry,Auth + callable authority + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
login,login.html,LOGIN ROOM,L-03,"day,night,rain,mist",environment-driven; no fixed light/dark branch,public,login-social-terminal,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,auth entry + phone availability,public/auth-entry,Auth + callable authority + phoneIndex rules,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,none,auth-state,phase12; auth-object; idle>hover/focus>interaction-start>loading>success/error/empty; disabled,auth-field
