section,recovered_logical_anchor,candidate_master_camera,confidence,notes
hero,hall,Corridor,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
about,gallery,Corridor,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
map,window,Exterior,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
properties,living,Living room,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
public-programs,garden,Exterior,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
about-summary,center,Corridor,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
mission,library,Living room,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
spaces,lounge,Living room,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
roles,stairs,Bedroom #1,LOW,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
guide,study,Kitchen,LOW,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
pages,directory,Corridor,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
features,feature-wall,Living room,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
safety,quiet,Bedroom #1,LOW,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
start,center-return,Corridor,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
contact,exit,Corridor,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
credits,front-door-return,Exterior,MEDIUM,Seed only. Final POV should be set by visual inspection in Sweet Home 3D.
