file,hex_literal_count,unique_hex_count,literal_duration_count,transition_declarations,animation_declarations
css/navbar.css,38,9,16,7,2
css/customSelect.css,0,0,2,1,1
css/toast.css,6,5,2,0,2
css/responsive.css,2,2,0,0,0
css/variables.css,80,54,9,0,0
css/cinematic-ui.css,90,73,57,25,21
css/search.css,6,4,3,2,1
css/gov-finance.css,34,9,0,0,0
css/auth.css,27,10,15,6,3
css/reset.css,0,0,0,0,0
css/broker-hq.css,79,30,13,5,1
css/transition.css,0,0,2,1,1
css/utilities.css,25,18,0,0,0
css/market.css,24,7,22,8,5
css/admin.css,78,45,10,3,2
css/home/about.css,48,14,4,2,0
css/home/style.css,0,0,0,0,0
css/home/hero.css,44,21,4,1,0
css/home/footer.css,41,14,5,3,0
css/home/house-world.css,4,4,1,2,0
css/home/property.css,1,1,2,2,0
css/profile/kyc.css,18,15,4,2,0
css/profile/responsive.css,0,0,0,0,0
css/profile/ui-upgrade.css,19,8,4,2,0
css/profile/visitor.css,18,14,3,1,0
css/profile/forms.css,21,11,9,3,0
css/profile/listing-form.css,65,29,13,8,0
css/profile/perks-showcase.css,12,6,5,3,0
css/profile/panels.css,91,50,4,2,1
css/profile/layout.css,107,43,51,20,6
css/profile/subscription.css,0,0,0,0,0
css/viewport/mobile.css,0,0,0,0,0
