level,door_name,door_id,physical_adjacency,physical_confidence,application_evidence,classification,reason
level0,Door frame,doorOrWindow-50af547e-1477-4ac2-978b-94bafaa4b1f0,Garage ↔ Garage,MEDIUM,NOT_ROUTE_ELIGIBLE,excluded_or_ambiguous,Not an accepted adjacency candidate in G1 census.
level0,Door frame,doorOrWindow-724e7351-4c29-48b3-8190-11a67981880f,room-827607f6-2341-4fed-b6e2-d6114aa32093 ↔ room-827607f6-2341-4fed-b6e2-d6114aa32093,MEDIUM,NOT_ROUTE_ELIGIBLE,excluded_or_ambiguous,Not an accepted adjacency candidate in G1 census.
level1,Door,doorOrWindow-f5aa788d-fbab-4eaf-902e-1baff5db9af0,Kitchen ↔ Corridor,HIGH,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level1,Door,doorOrWindow-1e0e398a-ad1d-45f5-8435-3b2c2463ef77,Bedroom #2 ↔ Corridor,HIGH,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level1,Door,doorOrWindow-ecde7105-ea92-4996-9804-1bc0587376aa,room-48f42ffe-7f73-44f3-a3e2-090c678f636e ↔ Corridor,HIGH,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level1,Door,doorOrWindow-938d12b9-1442-450d-a55e-2739784378cd,room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e ↔ Corridor,HIGH,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level1,Door,doorOrWindow-d1ae87a8-7c4f-4e34-9956-3f6f257f1cb5,Bedroom #1 ↔ Corridor,HIGH,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level1,Door frame,doorOrWindow-fde01204-d2ba-4cd8-963d-1eadd829238f,Living room ↔ Corridor,HIGH,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
level1,Front door,doorOrWindow-084e4aac-b73a-4e78-a804-ee88ffd4c4d3,Corridor ↔ room-b437b24d-c9c1-47e0-aafd-aba247c86e34,HIGH,LOGICAL_EXTERIOR_ENTRY_EVIDENCE,boundary_candidate,"Existing application has a public arrival/main-door contract, but the census ID has not been bound to that logical door contract."
level0,Door,doorOrWindow-94dbaf0a-3933-4ca1-8b26-cc2a4de04938,room-06eb2ac4-2276-41f1-9991-070a76a486ee ↔ Garage | room-06eb2ac4-2276-41f1-9991-070a76a486ee,MEDIUM,NO_DIRECT_PHYSICAL_BINDING,physical_candidate_unbound,"Application has logical destinations/camera/door contracts, but no current contract binds this census door ID to a named runtime transition."
