current_page_id,route,room,section_index,section_id,logical_pov_id,scroll_start,scroll_end,orientation_hint,focus_anchor,candidate_master_camera,binding_confidence,wire_status,sweet_home_camera_name
main-hall,index.html,MAIN HALL,1,hero,H-01,0.0,0.08,center,hero,Corridor,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-01 — hero
main-hall,index.html,MAIN HALL,2,about-home,H-02,0.08,0.14,slight-right,discovery,Living room,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-02 — discovery
main-hall,index.html,MAIN HALL,3,map,H-04,0.14,0.22,right/down,map,Exterior,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-04 — map
main-hall,index.html,MAIN HALL,4,properties,H-03,0.22,0.3,slight-left,property-display,Living room,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-03 — property-display
main-hall,index.html,MAIN HALL,5,government-housing,H-05,0.3,0.37,left,government-desk,Corridor,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-05 — government-desk
main-hall,index.html,MAIN HALL,6,about,H-06,0.37,0.44,center-left,mission,Living room,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-06 — mission
main-hall,index.html,MAIN HALL,7,mission,H-06,0.44,0.5,center,mission,Living room,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-06 — mission
main-hall,index.html,MAIN HALL,8,spaces,H-07,0.5,0.57,slight-right,guide,Kitchen,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-07 — guide
main-hall,index.html,MAIN HALL,9,roles,H-07,0.57,0.63,right,guide,Kitchen,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-07 — guide
main-hall,index.html,MAIN HALL,10,guide,H-07,0.63,0.69,right/down,guide,Kitchen,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-07 — guide
main-hall,index.html,MAIN HALL,11,pages,H-08,0.69,0.75,left,safety,Bedroom #1,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-08 — safety
main-hall,index.html,MAIN HALL,12,features,H-08,0.75,0.81,left/down,safety,Bedroom #1,MEDIUM,DERIVE_FROM_MASTER_CAMERA,HF H-08 — safety
