object_id,physical_object,logical_room,zone,route,ui_mount,best_model_furniture,match_score,status
home-hero-focal,🏠 Home Hero Focal,MAIN HALL,H-01,index.html,home-hero,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
main-search-console,Search Console,MAIN HALL,H-02,index.html,universal-search,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
property-catalogue,Property Catalogue,MAIN HALL,H-03,index.html,home-properties,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
home-map-table,Home Map Table,MAIN HALL,H-04,index.html,home-map-preview,Square table; Round table,0.333,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
government-info-desk,Government Information Desk,MAIN HALL,H-05,index.html,home-government,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
mission-wall,Mission Plaque,MAIN HALL,H-06,index.html,home-mission,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
guide-book,Guide Book,MAIN HALL,H-07,index.html,home-guide,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
safety-board,Safety Board,MAIN HALL,H-08,index.html,home-safety,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
start-cta,Start Console,MAIN HALL,H-09,index.html,home-start-cta,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
contact-desk,Contact Desk,MAIN HALL,H-09,index.html,contact-ui,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
credits-wall,Credits Wall,MAIN HALL,H-09,index.html,credits-ui,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
identity-desk,Identity Desk,LOGIN ROOM,L-01,login.html,login-form,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
login-terminal,Login Terminal,LOGIN ROOM,L-01,login.html,login-form,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
registration-doorway,Registration Doorway,LOGIN ROOM,L-01,register.html,register-link,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
registration-desk,Registration Desk,REGISTER ROOM,R-01,register.html,register-form,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
account-type-selector,Account Type Selector,REGISTER ROOM,R-01,register.html,type-owner/type-seeker,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
profile-console,Profile Console,PROFILE SUITE,P-01/P-11,profile.html,profile-header/settings,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
perk-portfolio-display,Perks & Portfolio Display,PROFILE SUITE,P-01,profile.html,profile-perks,,0,NO_NAME_MATCH_REBUILD_TAG_REQUIRED
