asset_id,room,hero_id,camera,planned_master,tier0,tier1,tier2,tier3,source_status,license_status,checksum_status,loading,status
WP-ASSET-001,BACKYARD,Arrival Cinema,ARR-01,assets/hero/backyard/arrival-cinema/master.glb,assets/hero/backyard/arrival-cinema/fallback.webp,assets/hero/backyard/arrival-cinema/mobile.glb,assets/hero/backyard/arrival-cinema/desktop.glb,assets/hero/backyard/arrival-cinema/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-002,MAIN HALL,Main Hero,H-01,assets/hero/main-hall/main-hero/master.glb,assets/hero/main-hall/main-hero/fallback.webp,assets/hero/main-hall/main-hero/mobile.glb,assets/hero/main-hall/main-hero/desktop.glb,assets/hero/main-hall/main-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-003,MAIN HALL,Discovery Hero,H-02,assets/hero/main-hall/discovery-hero/master.glb,assets/hero/main-hall/discovery-hero/fallback.webp,assets/hero/main-hall/discovery-hero/mobile.glb,assets/hero/main-hall/discovery-hero/desktop.glb,assets/hero/main-hall/discovery-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-004,MAIN HALL,Map Hero,H-04,assets/hero/main-hall/map-hero/master.glb,assets/hero/main-hall/map-hero/fallback.webp,assets/hero/main-hall/map-hero/mobile.glb,assets/hero/main-hall/map-hero/desktop.glb,assets/hero/main-hall/map-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-005,LOGIN ROOM,Identity Hero,L-01,assets/hero/login-room/identity-hero/master.glb,assets/hero/login-room/identity-hero/fallback.webp,assets/hero/login-room/identity-hero/mobile.glb,assets/hero/login-room/identity-hero/desktop.glb,assets/hero/login-room/identity-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-006,REGISTER ROOM,Registration Hero,R-01,assets/hero/register-room/registration-hero/master.glb,assets/hero/register-room/registration-hero/fallback.webp,assets/hero/register-room/registration-hero/mobile.glb,assets/hero/register-room/registration-hero/desktop.glb,assets/hero/register-room/registration-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-007,PROFILE SUITE,Profile Hero,P-01,assets/hero/profile-suite/profile-hero/master.glb,assets/hero/profile-suite/profile-hero/fallback.webp,assets/hero/profile-suite/profile-hero/mobile.glb,assets/hero/profile-suite/profile-hero/desktop.glb,assets/hero/profile-suite/profile-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-008,MARKET,Marketplace Hero,M-01,assets/hero/market/marketplace-hero/master.glb,assets/hero/market/marketplace-hero/fallback.webp,assets/hero/market/marketplace-hero/mobile.glb,assets/hero/market/marketplace-hero/desktop.glb,assets/hero/market/marketplace-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-009,MARKET,Map Hero,M-02,assets/hero/market/map-hero/master.glb,assets/hero/market/map-hero/fallback.webp,assets/hero/market/map-hero/mobile.glb,assets/hero/market/map-hero/desktop.glb,assets/hero/market/map-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-010,BROKER HQ,Broker Hero,B-01,assets/hero/broker-hq/broker-hero/master.glb,assets/hero/broker-hq/broker-hero/fallback.webp,assets/hero/broker-hq/broker-hero/mobile.glb,assets/hero/broker-hq/broker-hero/desktop.glb,assets/hero/broker-hq/broker-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-011,BROKER HQ,Intelligence Hero,B-04,assets/hero/broker-hq/intelligence-hero/master.glb,assets/hero/broker-hq/intelligence-hero/fallback.webp,assets/hero/broker-hq/intelligence-hero/mobile.glb,assets/hero/broker-hq/intelligence-hero/desktop.glb,assets/hero/broker-hq/intelligence-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-012,OPERATIONS,Operations Hero,A-01,assets/hero/operations/operations-hero/master.glb,assets/hero/operations/operations-hero/fallback.webp,assets/hero/operations/operations-hero/mobile.glb,assets/hero/operations/operations-hero/desktop.glb,assets/hero/operations/operations-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-013,REFERENCE,Government Hero,G-01,assets/hero/reference/government-hero/master.glb,assets/hero/reference/government-hero/fallback.webp,assets/hero/reference/government-hero/mobile.glb,assets/hero/reference/government-hero/desktop.glb,assets/hero/reference/government-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
WP-ASSET-014,REFERENCE,Legal Hero,LGL-01,assets/hero/reference/legal-hero/master.glb,assets/hero/reference/legal-hero/fallback.webp,assets/hero/reference/legal-hero/mobile.glb,assets/hero/reference/legal-hero/desktop.glb,assets/hero/reference/legal-hero/cinematic.glb,NOT_PROVIDED,NOT_PROVIDED,NOT_APPLICABLE_UNTIL_ASSET_ARRIVES,lazy-after-route-ready,PLANNED
