pov_id,section,physical_object_id,camera_anchor,allowed_environment_themes,ui_theme_compatibility,role_states,responsive_behavior,fallback,camera_boundary,status,visual_verification
H-01,hero,home-hero-focal,hall,day|sunset|night|rain|mist|storm,environment-driven,guest|seeker|owner|broker|staff|moderator|admin,mobile-portrait=hero compresses to primary focal + stacked CTA ; mobile-landscape=reduced hero height; preserve CTA visibility ; tablet=balanced hero composition with compact overlay ; desktop=full cinematic hero + HTML CTA ; wide-desktop=preserve focal hierarchy without scale inflation ; reduced-motion=no camera interpolation; focus state is instant/fade,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-02,about-home,main-search-console,gallery,day|sunset|night|rain|mist|storm,environment-driven,guest|seeker|owner|broker|staff|moderator|admin,mobile-portrait=search expands to full-width touch target ; mobile-landscape=compact search row without clipped controls ; tablet=two-part search controls remain readable ; desktop=cinematic focus with full search console ; wide-desktop=preserve search focus; no unnecessary scaling ; reduced-motion=instant focus; no animated camera sweep,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-03,properties,property-catalogue,living,day|sunset|night|rain|mist|storm,environment-driven,guest|seeker|owner|broker|staff|moderator|admin,mobile-portrait=stack discovery cards vertically ; mobile-landscape=horizontal compact discovery rail ; tablet=adaptive card grid ; desktop=full property catalogue composition ; wide-desktop=cap content width; preserve card hierarchy ; reduced-motion=selection uses instant/fade transition,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-04,map,home-map-table,window,day|sunset|night|rain|mist|storm,environment-driven,guest|seeker|owner|broker|staff|moderator|admin,mobile-portrait=map becomes touch-first compact surface; retain HTML fallback ; mobile-landscape=map height reduced but controls remain reachable ; tablet=adaptive map/table composition ; desktop=full cinematic map gateway ; wide-desktop=preserve map focus without excessive viewport scaling ; reduced-motion=no animated camera travel; map state preserved,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-05,government-housing,government-info-desk,garden,day|sunset|night|rain|mist|storm,environment-driven,guest|seeker|owner|broker|staff|moderator|admin,mobile-portrait=stack reference cards and disclaimer ; mobile-landscape=compact reference panel ; tablet=readable desk/reference layout ; desktop=full reference composition ; wide-desktop=cap reading width ; reduced-motion=instant/fade focus only,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-06,about,mission-wall,center|library,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=reading column with comfortable line length ; mobile-landscape=preserve reading anchor; avoid clipped text ; tablet=balanced reading/media layout ; desktop=full plaque/reading framing ; wide-desktop=cap reading width ; reduced-motion=instant section focus; preserve scroll position,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-06,mission,mission-wall,center|library,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=reading column with comfortable line length ; mobile-landscape=preserve reading anchor; avoid clipped text ; tablet=balanced reading/media layout ; desktop=full plaque/reading framing ; wide-desktop=cap reading width ; reduced-motion=instant section focus; preserve scroll position,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-07,spaces,guide-book,lounge|stairs|study,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=guide chapters stack; touch targets remain >=44px ; mobile-landscape=compact chapter navigation ; tablet=split guide/contents when space permits ; desktop=full guide-book composition ; wide-desktop=preserve readable book/content scale ; reduced-motion=instant page focus; no animated camera sweep,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-07,roles,guide-book,lounge|stairs|study,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=guide chapters stack; touch targets remain >=44px ; mobile-landscape=compact chapter navigation ; tablet=split guide/contents when space permits ; desktop=full guide-book composition ; wide-desktop=preserve readable book/content scale ; reduced-motion=instant page focus; no animated camera sweep,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
H-07,guide,guide-book,lounge|stairs|study,day|sunset|night|rain|mist|storm,environment-driven,public,mobile-portrait=guide chapters stack; touch targets remain >=44px ; mobile-landscape=compact chapter navigation ; tablet=split guide/contents when space permits ; desktop=full guide-book composition ; wide-desktop=preserve readable book/content scale ; reduced-motion=instant page focus; no animated camera sweep,HTML section remains authoritative; 2D/static fallback if 3D unavailable,presentation-only; no authorization or data mutation,CONTRACT_DEFINED,NOT_RUN
