page_id,logical_room,page_binding,candidate_master_room,room_confidence,sections_count,tabs,navigation,logical_pov_count,logical_pov_ids,candidate_master_cameras,camera_confidence_range,physical_ui_object_count,physical_ui_object_ids,physical_object_status_counts,overall_next_action
main-hall,MAIN HALL,SEMANTIC_BINDING_RECOVERED,Corridor,HIGH,4,,primary nav ; account entry ; room navigation,9,H-01;H-02;H-03;H-04;H-05;H-06;H-07;H-08;H-09,Bedroom #1;Corridor;Exterior;Kitchen;Living room,MEDIUM,11,home-hero-focal;main-search-console;property-catalogue;home-map-table;government-info-desk;mission-wall;guide-book;safety-board;start-cta;contact-desk;credits-wall,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=11,validate room/anchor + create/verify POVs + bind/quarantine UI objects
login,LOGIN ROOM,SEMANTIC_BINDING_RECOVERED,Bedroom #1,LOW,3,,back to hall ; register,1,L-01,Bedroom #1,LOW,3,identity-desk;login-terminal;registration-doorway,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=3,validate room/anchor + create/verify POVs + bind/quarantine UI objects
register,REGISTER ROOM,SEMANTIC_BINDING_RECOVERED,Bedroom #2,LOW,3,,login ; back to hall,1,R-01,Bedroom #2,LOW,2,registration-desk;account-type-selector,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=2,validate room/anchor + create/verify POVs + bind/quarantine UI objects
listings,MARKET,SEMANTIC_BINDING_RECOVERED,Living room,MEDIUM,5,for sale ; for rent ; other applicable listing states,,6,M-01;M-02;M-03;M-04;M-05;M-06,Corridor;Living room,MEDIUM,7,market-directory;market-map-table;filter-cabinet;property-display-wall;wanted-display-wall;property-dossier;market-contact-desk,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=6;POSSIBLE_MODEL_MATCH=1,validate room/anchor + create/verify POVs + bind/quarantine UI objects
property-gallery,MARKET,SEMANTIC_BINDING_RECOVERED,Living room,MEDIUM,5,overview ; gallery ; location ; details,,6,M-01;M-02;M-03;M-04;M-05;M-06,Corridor;Living room,MEDIUM,7,market-directory;market-map-table;filter-cabinet;property-display-wall;wanted-display-wall;property-dossier;market-contact-desk,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=6;POSSIBLE_MODEL_MATCH=1,validate room/anchor + create/verify POVs + bind/quarantine UI objects
map,MARKET,SEMANTIC_BINDING_RECOVERED,Living room,MEDIUM,4,,,6,M-01;M-02;M-03;M-04;M-05;M-06,Corridor;Living room,MEDIUM,7,market-directory;market-map-table;filter-cabinet;property-display-wall;wanted-display-wall;property-dossier;market-contact-desk,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=6;POSSIBLE_MODEL_MATCH=1,validate room/anchor + create/verify POVs + bind/quarantine UI objects
profile,PROFILE SUITE,SEMANTIC_BINDING_RECOVERED,Bedroom #2,MEDIUM,4,property ; messages ; list property,,12,P-01;P-05;P-12;P-02;P-03;P-04;P-06;P-07;P-08;P-09;P-10;P-11,Bedroom #2,LOW,13,profile-console;perk-portfolio-display;paypal-subscription-console;message-terminal;contracts-folder;help-desk;listing-book;wanted-notebook;saved-properties-cabinet;saved-wanted-cabinet;review-ledger;government-housing-desk;broker-gate,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=13,validate room/anchor + create/verify POVs + bind/quarantine UI objects
finance,REFERENCE,SEMANTIC_BINDING_RECOVERED,Kitchen,LOW,4,,,3,G-01;LGL-01;L-GL,Kitchen,LOW,2,government-reference-desk;legal-library,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=2,validate room/anchor + create/verify POVs + bind/quarantine UI objects
messages,PROFILE SUITE,SEMANTIC_BINDING_RECOVERED,Bedroom #2,MEDIUM,3,,,12,P-01;P-05;P-12;P-02;P-03;P-04;P-06;P-07;P-08;P-09;P-10;P-11,Bedroom #2,LOW,13,profile-console;perk-portfolio-display;paypal-subscription-console;message-terminal;contracts-folder;help-desk;listing-book;wanted-notebook;saved-properties-cabinet;saved-wanted-cabinet;review-ledger;government-housing-desk;broker-gate,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=13,validate room/anchor + create/verify POVs + bind/quarantine UI objects
favorites,PROFILE SUITE,SEMANTIC_BINDING_RECOVERED,Bedroom #2,MEDIUM,3,,,12,P-01;P-05;P-12;P-02;P-03;P-04;P-06;P-07;P-08;P-09;P-10;P-11,Bedroom #2,LOW,13,profile-console;perk-portfolio-display;paypal-subscription-console;message-terminal;contracts-folder;help-desk;listing-book;wanted-notebook;saved-properties-cabinet;saved-wanted-cabinet;review-ledger;government-housing-desk;broker-gate,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=13,validate room/anchor + create/verify POVs + bind/quarantine UI objects
broker,BROKER HQ,SEMANTIC_BINDING_RECOVERED,Garage,MEDIUM,4,,,6,B-01;B-04;B-02;B-03;B-05;B-06,Garage,LOW,5,broker-desk;broker-request-board;broker-service-board;broker-intelligence-map;broker-discovery-wall,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=5,validate room/anchor + create/verify POVs + bind/quarantine UI objects
settings,PROFILE SUITE,SEMANTIC_BINDING_RECOVERED,Bedroom #2,MEDIUM,5,,,12,P-01;P-05;P-12;P-02;P-03;P-04;P-06;P-07;P-08;P-09;P-10;P-11,Bedroom #2,LOW,13,profile-console;perk-portfolio-display;paypal-subscription-console;message-terminal;contracts-folder;help-desk;listing-book;wanted-notebook;saved-properties-cabinet;saved-wanted-cabinet;review-ledger;government-housing-desk;broker-gate,NO_NAME_MATCH_REBUILD_TAG_REQUIRED=13,validate room/anchor + create/verify POVs + bind/quarantine UI objects
