CURRENT_PATH,PROPOSED_CANONICAL_PATH,ARTIFACT_CLASS,LOGICAL_BATCH,PURPOSE,AUTHORITY_STATUS,HISTORICAL_STATUS,REFERENCES_COUNT,DEPENDENCIES,DUPLICATE_STATUS,CONFLICT_LEVEL,LINEAGE_REQUIRED,VERIFICATION_COVERAGE,MIGRATION_STATUS,SIZE,SHA256
AI_ASSISTANT_READ_ME.md,project-guide/AI_ASSISTANT_READ_ME.md,project-guide,Project Guide,Continuity/authority document: AI_ASSISTANT_READ_ME,canonical,current,19,,unique,HIGH,Yes,verify/contracts/,approved,29476,768a7c34da78f86eda98e9caffd459d2605040818353fe4af5ae7d399a587933
Endorsement.md,project-guide/Endorsement.md,project-guide,Project Guide,Continuity/authority document: Endorsement,canonical,current,8,,unique,HIGH,Yes,verify/contracts/,approved,5304,8112150688ffc9d7eef02f3556472b13cc44eb1731a61ea4f90c61a83d7c7e89
HandOver.md,project-guide/HandOver.md,project-guide,Project Guide,Continuity/authority document: HandOver,canonical,current,8,,unique,HIGH,Yes,verify/contracts/,approved,6993,1d16e1ab7aefc8c0f5fde5e6be3cc2fec584493782b404d1dc9d01185043ccb1
README.md,README.md,project-guide,Project Guide,Repository index and targeting entry point,canonical,current,18,,unique,HIGH,Yes,verify/contracts/,approved,3117,bdeb38de3238e6de1ec728c54f69b33b00a68b9bce38129f656466b69bfe6dbe
active_development/3d/app/homefinder-viewer.css,active_development/3d/app/homefinder-viewer.css,3d-spatial,3D / Spatial,3D viewer/runtime artifact: homefinder-viewer.css,canonical,current,4,,unique,MEDIUM,No,verify/3d/,approved,2972,765555ca4335c22834d009fb0bd7c81266b9b32cd9a7352f64bac7ddf1a51e87
active_development/3d/app/homefinder-viewer.js,active_development/3d/app/homefinder-viewer.js,3d-spatial,3D / Spatial,3D viewer/runtime artifact: homefinder-viewer.js,canonical,current,7,,unique,MEDIUM,No,verify/3d/,approved,3441,b2eb39038473b7f6f3ff0e932763d802ccc5a351cddf7897c0e9bcbb5b868122
active_development/3d/docs/model-census.json,active_development/3d/docs/model-census.json,3d-spatial,3D / Spatial,3D viewer/runtime artifact: model-census.json,canonical,current,9,,unique,MEDIUM,No,verify/3d/,approved,987,8f844576d670e5f518d5e610ad822b860b33b51d12a87751ae75ffa8ba4172ff
active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/HomeFinderViewer.html,active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/HomeFinderViewer.html,3d-spatial,3D / Spatial,3D viewer/runtime artifact: HomeFinderViewer.html,canonical,current,7,,unique,MEDIUM,No,verify/3d/,approved,2656,11de03d3b8f3e4218746faf7c145872a54e41e5d1061825b939d7d290ef02f58
active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/HomeFinderViewerOverlay.html,active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/HomeFinderViewerOverlay.html,3d-spatial,3D / Spatial,3D viewer/runtime artifact: HomeFinderViewerOverlay.html,canonical,current,5,,unique,MEDIUM,No,verify/3d/,approved,1662,a46b6f6e3e0949f03f85dfcf9f4baf926fbc2e948bffc9e1a36c7488c093deec
active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/batik-svgpathparser.min.js,active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/batik-svgpathparser.min.js,3d-spatial,3D / Spatial,3D viewer/runtime artifact: batik-svgpathparser.min.js,canonical,current,4,,unique,MEDIUM,No,verify/3d/,approved,83194,91fb06a1bdbaf8b96f0c5cb74681b902f436516b48cddb204c9e21e4af74cded
active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/big.min.js,active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/big.min.js,3d-spatial,3D / Spatial,3D viewer/runtime artifact: big.min.js,canonical,current,4,,unique,MEDIUM,No,verify/3d/,approved,7582,76f91cda46aaeec826dd708affdb007fc93a6b2f739255511fd31844ebfa9621
active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/close.png,active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/close.png,3d-spatial,3D / Spatial,3D viewer/runtime artifact: close.png,canonical,current,4,,unique,MEDIUM,No,verify/3d/,approved,597,a79d6abc4add16040d15c9dab9635893a84dd2b9ec82a18c659fd16d84a4a88d
active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/core.min.js,active_development/3d/viewer/SweetHome3DJSViewer-7.5.2/lib/core.min.js,3d-spatial,3D / Spatial,3D viewer/runtime artifact: core.min.js,canonical,current,4,,unique,MEDIUM,No,verify/3d/,approved,15387,657d5f2d0999337834ceb35be974662736017f07c5a46996bc4b2731ad883718
