source_page,destination,evidence
market.html,index.html,HTML anchor
market.html,market.html,HTML anchor
financing.html,index.html,HTML anchor
financing.html,market.html,HTML anchor
broker-hq.html,login.html,HTML anchor
broker-hq.html,profile.html,HTML anchor
register.html,index.html,HTML anchor
register.html,login.html,HTML anchor
register.html,market.html,HTML anchor
register.html,privacy.html,HTML anchor
register.html,profile.html,HTML anchor
register.html,register.html,HTML anchor
register.html,terms.html,HTML anchor
profile.html,broker-hq.html,HTML anchor
profile.html,financing.html,HTML anchor
profile.html,market.html,HTML anchor
index.html,financing.html,HTML anchor
index.html,index.html,HTML anchor
index.html,login.html,HTML anchor
index.html,market.html,HTML anchor
index.html,privacy.html,HTML anchor
index.html,profile.html,HTML anchor
index.html,register.html,HTML anchor
index.html,terms.html,HTML anchor
index.html,verify/index.html,HTML anchor
privacy.html,index.html,HTML anchor
login.html,index.html,HTML anchor
login.html,login.html,HTML anchor
login.html,market.html,HTML anchor
login.html,privacy.html,HTML anchor
login.html,profile.html,HTML anchor
login.html,register.html,HTML anchor
login.html,terms.html,HTML anchor
terms.html,index.html,HTML anchor
