level,door_id,door_name,x,y,angle,nearest_wall_id,door_to_wall_distance,side_a_rooms,side_b_rooms,side_a_houses,side_b_houses,status,confidence
level0,doorOrWindow-50af547e-1477-4ac2-978b-94bafaa4b1f0,Door frame,-4.1046453,446.74414,4.712389,wall29,0.3953547000000004,Garage,Garage,,,ONE_SIDED_OR_AMBIGUOUS,MEDIUM
level0,doorOrWindow-724e7351-4c29-48b3-8190-11a67981880f,Door frame,535.1325,29.360634,4.712389,wall24,0.06749999999999545,room-827607f6-2341-4fed-b6e2-d6114aa32093,room-827607f6-2341-4fed-b6e2-d6114aa32093,,,ONE_SIDED_OR_AMBIGUOUS,MEDIUM
level1,doorOrWindow-f5aa788d-fbab-4eaf-902e-1baff5db9af0,Door,310.18668,221.60619,3.1453866999999995,wall40,2.4999438644101346,Kitchen,Corridor,,,ADJACENCY_CANDIDATE,HIGH
level1,doorOrWindow-1e0e398a-ad1d-45f5-8435-3b2c2463ef77,Door,649.3702,222.32921,3.1415927000000003,wall14,2.4999500000000126,Bedroom #2,Corridor,,,ADJACENCY_CANDIDATE,HIGH
level1,doorOrWindow-ecde7105-ea92-4996-9804-1bc0587376aa,Door,702.6905,289.64816,4.7127376000000005,wall34,2.4999717313879906,room-48f42ffe-7f73-44f3-a3e2-090c678f636e,Corridor,,,ADJACENCY_CANDIDATE,HIGH
level1,doorOrWindow-938d12b9-1442-450d-a55e-2739784378cd,Door,480.55853,222.19589,3.1438260000000007,wall13,2.498209237527253,room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e,Corridor,,,ADJACENCY_CANDIDATE,HIGH
level1,doorOrWindow-d1ae87a8-7c4f-4e34-9956-3f6f257f1cb5,Door,652.0948,352.6545,1.7484554959423804e-07,wall35,2.499930000000006,Bedroom #1,Corridor,,,ADJACENCY_CANDIDATE,HIGH
level1,doorOrWindow-fde01204-d2ba-4cd8-963d-1eadd829238f,Door frame,194.54688,350.1545,1.7484554959423804e-07,wall7,6.999999999379725e-05,Living room,Corridor,,,ADJACENCY_CANDIDATE,HIGH
level1,doorOrWindow-084e4aac-b73a-4e78-a804-ee88ffd4c4d3,Front door,-5.735344,286.99707,4.712389,wall33,1.2353440000000004,Corridor,room-b437b24d-c9c1-47e0-aafd-aba247c86e34,,,ADJACENCY_CANDIDATE,HIGH
level0,doorOrWindow-94dbaf0a-3933-4ca1-8b26-cc2a4de04938,Door,607.6332,361.7407,4.712389,wall21,7.3332000000000335,room-06eb2ac4-2276-41f1-9991-070a76a486ee,Garage | room-06eb2ac4-2276-41f1-9991-070a76a486ee,,,ADJACENCY_CANDIDATE,MEDIUM
level0,doorOrWindow-5a9a4d99-8766-4176-8fa6-68a201410887,Door,659.0513,296.57333,3.1415927000000003,wall23,6.985970000000009,room-827607f6-2341-4fed-b6e2-d6114aa32093,room-06eb2ac4-2276-41f1-9991-070a76a486ee,,,ADJACENCY_CANDIDATE,MEDIUM
level0,doorOrWindow-217f13c4-dfdd-4d43-9428-5f495a8d88ed,Door,528.2141,246.57596,1.5707963999999999,wall24,6.985900000000015,room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81,room-827607f6-2341-4fed-b6e2-d6114aa32093,,,ADJACENCY_CANDIDATE,MEDIUM
add-level0,add-doorOrWindow-6481b0f1-302f-4d58-90b6-bca6aefbdbf8,Door frame,6100.908264040103,514.157284180047,1.7484554959423804e-07,add-wall3,4.0000000012696546e-05,,Garage,,,ONE_SIDED_OR_AMBIGUOUS,MEDIUM
add-level1,add-doorOrWindow-eb59f607-28de-4696-b9c8-3300bb6b5d5b,Rounded door,5326.243434040103,25.937574180046965,1.5707963999999999,add-add-wall18,2.4999448561493494,Bathroom,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-d0edcf0e-00ca-4e67-a9c0-17de0d49ac5c,Rounded door,5331.243354040103,255.73516418004698,4.712389,add-add-wall17,2.49996997351829,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-898dba25-8ce4-4088-9d56-2b7bf17d118e,Rounded door,5641.552664040103,26.453634180046947,1.5707963999999999,add-add-wall49,2.4999399999996967,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,Bedrom #3,,,ADJACENCY_CANDIDATE,HIGH
add-level0,add-doorOrWindow-20899be4-b9af-4664-9c62-53e8a180a001,Front door,5517.963644040103,559.154324180047,3.1415927000000003,add-wall0,3.611059999999952,Living Room,,,,ONE_SIDED_OR_AMBIGUOUS,MEDIUM
add-level0,add-doorOrWindow-9df41ae2-c632-4510-a40d-f15c0a40fb83,Door,3867.4464276176254,234.18719418004696,1.5707963999999999,add-wall-a55734bd-352e-4995-83fb-9b67b6cec2c1,2.949999999999818,add-room-6530c4e3-46ae-4540-8450-058d3e106505 | Hall,add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,,,ADJACENCY_CANDIDATE,HIGH
add-level0,add-doorOrWindow-c7805654-0e93-4b58-9a34-5ee1ad3f5183,Open door,3356.0256576176253,31.838864180046954,1.5707963999999999,add-wall-d97e8f06-e1bc-497e-81bc-9cf9eb7962d9,33.45557000000008,Kitchen,add-room-6530c4e3-46ae-4540-8450-058d3e106505 | Hall,,,ADJACENCY_CANDIDATE,MEDIUM
add-level0,add-doorOrWindow-6ecf091c-549e-4dfa-9716-1a8a5b6b15c3,Open door,3750.5288976176253,482.85582418004697,1.7484554959423804e-07,add-wall-1d2abf7b-7c62-427e-8beb-ab2370827b81,33.49959999999999,Office,Hall,,,ADJACENCY_CANDIDATE,MEDIUM
add-level0,add-doorOrWindow-e54939b2-21fb-46ad-89c0-19c2bb000368,Front door,3692.4615776176256,58.21057018004696,1.5707963999999999,add-wall-e6f904e3-2b12-46a0-acd6-810a8711f065,1.4803500000002714,add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc | Hall,add-room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-b783d1fa-2085-4d12-84fd-1ae71ba4dcf2,Door,3558.2812276176255,222.93382418004694,4.712389,add-wall-deaf8ed4-c843-430d-a971-23a528708660,2.499949999999899,Bedroom #2,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39 | Bedroom #2,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-236b4260-cf0f-4f5c-a237-0ae033c4a8c0,Door,3558.2783276176256,725.054024180047,4.712394700000001,add-wall-09f2de47-0d4a-4c9f-93b5-45181c833ae9,2.4970499999999447,Bathroom,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-fe38ac2f-3292-4794-ae12-9d6bb580e1e5,Door,3558.2812276176255,1018.7093241800469,4.712389,add-wall-acb7f371-bd4b-4bb5-bac6-af53f515a740,2.499949999999899,Bedroom #1,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-ff66e0d4-90dc-4ab6-b304-7a99091ce63a,Door,3558.2812276176255,905.209424180047,4.712389,add-wall-07855a64-081e-46a3-8ca3-c3ebb1188bb2,2.499949999999899,add-room-c8146434-9569-4080-8d3a-350d81aef4e9,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-e2f8a381-399f-4447-92a3-28d1e8db004d,Door,3680.8012276176255,1131.7466241800469,1.5707963999999999,add-wall-a4620f26-b1bb-42d6-b8f1-56e557d8e160,2.499949999999899,Dressing,Bedroom #1,,,ADJACENCY_CANDIDATE,HIGH
add-level1,add-doorOrWindow-16d223b7-d35a-4665-837a-ed5b4bd8097c,Open door,3355.9815976176255,88.67306418004694,1.5707963999999999,add-wall-68db8205-40ae-42db-aa73-547216ba779b,33.4996299999998,Bedroom #3,add-room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0 | add-room-d459f24e-bbca-48ff-ad88-c50674e50e39,,,ADJACENCY_CANDIDATE,MEDIUM
