edge_id,level,door_id,door_name,node_a,node_b,room_a,room_b,confidence,source_status,route_validation
level1::doorOrWindow-f5aa788d-fbab-4eaf-902e-1baff5db9af0::Kitchen::Corridor,level1,doorOrWindow-f5aa788d-fbab-4eaf-902e-1baff5db9af0,Door,level1::Kitchen,level1::Corridor,Kitchen,Corridor,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level1::doorOrWindow-1e0e398a-ad1d-45f5-8435-3b2c2463ef77::Bedroom_2::Corridor,level1,doorOrWindow-1e0e398a-ad1d-45f5-8435-3b2c2463ef77,Door,level1::Bedroom_2,level1::Corridor,Bedroom #2,Corridor,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level1::doorOrWindow-ecde7105-ea92-4996-9804-1bc0587376aa::room-48f42ffe-7f73-44f3-a3e2-090c678f636e::Corridor,level1,doorOrWindow-ecde7105-ea92-4996-9804-1bc0587376aa,Door,level1::room-48f42ffe-7f73-44f3-a3e2-090c678f636e,level1::Corridor,room-48f42ffe-7f73-44f3-a3e2-090c678f636e,Corridor,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level1::doorOrWindow-938d12b9-1442-450d-a55e-2739784378cd::room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e::Corridor,level1,doorOrWindow-938d12b9-1442-450d-a55e-2739784378cd,Door,level1::room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e,level1::Corridor,room-e1d0d157-20db-46b0-85f5-2d8b47e8f42e,Corridor,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level1::doorOrWindow-d1ae87a8-7c4f-4e34-9956-3f6f257f1cb5::Bedroom_1::Corridor,level1,doorOrWindow-d1ae87a8-7c4f-4e34-9956-3f6f257f1cb5,Door,level1::Bedroom_1,level1::Corridor,Bedroom #1,Corridor,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level1::doorOrWindow-fde01204-d2ba-4cd8-963d-1eadd829238f::Living_room::Corridor,level1,doorOrWindow-fde01204-d2ba-4cd8-963d-1eadd829238f,Door frame,level1::Living_room,level1::Corridor,Living room,Corridor,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level1::doorOrWindow-084e4aac-b73a-4e78-a804-ee88ffd4c4d3::Corridor::room-b437b24d-c9c1-47e0-aafd-aba247c86e34,level1,doorOrWindow-084e4aac-b73a-4e78-a804-ee88ffd4c4d3,Front door,level1::Corridor,level1::room-b437b24d-c9c1-47e0-aafd-aba247c86e34,Corridor,room-b437b24d-c9c1-47e0-aafd-aba247c86e34,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
level0::doorOrWindow-94dbaf0a-3933-4ca1-8b26-cc2a4de04938::room-06eb2ac4-2276-41f1-9991-070a76a486ee::Garage,level0,doorOrWindow-94dbaf0a-3933-4ca1-8b26-cc2a4de04938,Door,level0::room-06eb2ac4-2276-41f1-9991-070a76a486ee,level0::Garage,room-06eb2ac4-2276-41f1-9991-070a76a486ee,Garage,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
level0::doorOrWindow-5a9a4d99-8766-4176-8fa6-68a201410887::room-827607f6-2341-4fed-b6e2-d6114aa32093::room-06eb2ac4-2276-41f1-9991-070a76a486ee,level0,doorOrWindow-5a9a4d99-8766-4176-8fa6-68a201410887,Door,level0::room-827607f6-2341-4fed-b6e2-d6114aa32093,level0::room-06eb2ac4-2276-41f1-9991-070a76a486ee,room-827607f6-2341-4fed-b6e2-d6114aa32093,room-06eb2ac4-2276-41f1-9991-070a76a486ee,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
level0::doorOrWindow-217f13c4-dfdd-4d43-9428-5f495a8d88ed::room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81::room-827607f6-2341-4fed-b6e2-d6114aa32093,level0,doorOrWindow-217f13c4-dfdd-4d43-9428-5f495a8d88ed,Door,level0::room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81,level0::room-827607f6-2341-4fed-b6e2-d6114aa32093,room-1b7f36f8-0b17-4dbd-abc6-5ce93d426c81,room-827607f6-2341-4fed-b6e2-d6114aa32093,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-eb59f607-28de-4696-b9c8-3300bb6b5d5b::Bathroom::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,add-level1,add-doorOrWindow-eb59f607-28de-4696-b9c8-3300bb6b5d5b,Rounded door,add-level1::Bathroom,add-level1::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,Bathroom,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-d0edcf0e-00ca-4e67-a9c0-17de0d49ac5c::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3::add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,add-level1,add-doorOrWindow-d0edcf0e-00ca-4e67-a9c0-17de0d49ac5c,Rounded door,add-level1::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,add-level1::add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,add-room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level1::add-doorOrWindow-898dba25-8ce4-4088-9d56-2b7bf17d118e::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3::Bedrom_3,add-level1,add-doorOrWindow-898dba25-8ce4-4088-9d56-2b7bf17d118e,Rounded door,add-level1::add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,add-level1::Bedrom_3,add-room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,Bedrom #3,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level0::add-doorOrWindow-9df41ae2-c632-4510-a40d-f15c0a40fb83::add-room-6530c4e3-46ae-4540-8450-058d3e106505::add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,add-level0,add-doorOrWindow-9df41ae2-c632-4510-a40d-f15c0a40fb83,Door,add-level0::add-room-6530c4e3-46ae-4540-8450-058d3e106505,add-level0::add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,add-room-6530c4e3-46ae-4540-8450-058d3e106505,add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level0::add-doorOrWindow-9df41ae2-c632-4510-a40d-f15c0a40fb83::Hall::add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,add-level0,add-doorOrWindow-9df41ae2-c632-4510-a40d-f15c0a40fb83,Door,add-level0::Hall,add-level0::add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,Hall,add-room-66035ea2-1de4-44b8-8ef2-0242ef84887d,HIGH,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level0::add-doorOrWindow-c7805654-0e93-4b58-9a34-5ee1ad3f5183::Kitchen::add-room-6530c4e3-46ae-4540-8450-058d3e106505,add-level0,add-doorOrWindow-c7805654-0e93-4b58-9a34-5ee1ad3f5183,Open door,add-level0::Kitchen,add-level0::add-room-6530c4e3-46ae-4540-8450-058d3e106505,Kitchen,add-room-6530c4e3-46ae-4540-8450-058d3e106505,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level0::add-doorOrWindow-c7805654-0e93-4b58-9a34-5ee1ad3f5183::Kitchen::Hall,add-level0,add-doorOrWindow-c7805654-0e93-4b58-9a34-5ee1ad3f5183,Open door,add-level0::Kitchen,add-level0::Hall,Kitchen,Hall,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
add-level0::add-doorOrWindow-6ecf091c-549e-4dfa-9716-1a8a5b6b15c3::Office::Hall,add-level0,add-doorOrWindow-6ecf091c-549e-4dfa-9716-1a8a5b6b15c3,Open door,add-level0::Office,add-level0::Hall,Office,Hall,MEDIUM,ADJACENCY_CANDIDATE,NOT_VALIDATED
