index,object_id,physical_object,room,zone,route,roles,feature,interaction,ui_mount,state,authority,animation_hook,performance_tier,fallback,status,evidence
0,home-hero-focal,🏠 Home Hero Focal,MAIN HALL,H-01,index.html,"guest,seeker,owner,broker,staff,moderator,admin",Home hero / primary CTA,focus/activate CTA,home-hero,idle/focus/loading,Home application UI + route layer,hero-settle,Tier 1-3,Standard Home hero HTML/CTA,MAPPED,index.html
1,main-search-console,Search Console,MAIN HALL,H-02,index.html,"guest,seeker,owner,broker,staff,moderator,admin",Universal search,focus/search,universal-search,query/loading/results,search/data layer,search-focus,Tier 1,Standard search control,MAPPED,index.html
2,property-catalogue,Property Catalogue,MAIN HALL,H-03,index.html,"guest,seeker,owner,broker,staff,moderator,admin",Featured property discovery,open/inspect,home-properties,loading/selection/error,data layer,catalogue-open,Tier 1-2,Property discovery links/cards,MAPPED,index.html
3,home-map-table,Home Map Table,MAIN HALL,H-04,index.html,"guest,seeker,owner,broker,staff,moderator,admin",Map preview/exploration gateway,pan/zoom/open-market,home-map-preview,idle/loading/selection,map/data layer,map-interaction,Tier 1-3,Normal map link/control,MAPPED,index.html
4,government-info-desk,Government Information Desk,MAIN HALL,H-05,index.html,"guest,seeker,owner,broker,staff,moderator,admin",Government housing guide,open-reference,home-government,idle/loading/published/empty/error/disclaimer,content layer,desk-open,Tier 1,Government guide link + official-source disclaimer,RESPONSE-MAPPED,index.html
5,mission-wall,Mission Plaque,MAIN HALL,H-06,index.html,public,About/Mission,focus/read,home-mission,idle/focus/read,content layer,plaque-focus,Tier 1,Accessible text section; retain reading position,RESPONSE-MAPPED,index.html
6,guide-book,Guide Book,MAIN HALL,H-07,index.html,public,Spaces/Roles/Guide,open-guide,home-guide,idle/open,content layer,book-open,Tier 1,Guide section links,MAPPED,index.html
7,safety-board,Safety Board,MAIN HALL,H-08,index.html,public,Features/Safety,open-section,home-safety,idle/open,content layer,board-open,Tier 1,Accessible safety section,MAPPED,index.html
8,contact-desk,Contact Desk,MAIN HALL,H-09,index.html,public,Contact/support entry,open-panel,contact-ui,idle/focus/mailto/legal/login-support,contact layer,desk-open,Tier 1,Normal contact links remain usable without cinematic layer,RESPONSE-MAPPED,index.html
9,identity-desk,Identity Desk,LOGIN ROOM,L-01,login.html,guest,Authentication,focus/submit,login-form,validation/loading/error,auth layer,terminal-focus,Tier 1,HTML login form,MAPPED,login.html
10,login-terminal,Login Terminal,LOGIN ROOM,L-01,login.html,guest,Email/password/social sign-in,focus/submit,login-form,validation/loading/error,auth layer,terminal-focus,Tier 1,HTML login form,MAPPED,login.html
11,registration-doorway,Registration Doorway,LOGIN ROOM,L-01,register.html,guest,Account creation entry,navigate,register-link,idle/focus,route layer,door-open,Tier 1,Register link,MAPPED,login.html
12,registration-desk,Registration Desk,REGISTER ROOM,R-01,register.html,guest,Create account,focus/submit,register-form,validation/loading/error,auth layer,desk-focus,Tier 1,HTML registration form,MAPPED,register.html
13,account-type-selector,Account Type Selector,REGISTER ROOM,R-01,register.html,guest,Choose Property Owner/Seeker,select,type-owner/type-seeker,selection/validation,auth/profile layer,selector-focus,Tier 1,Native accessible selector,MAPPED,register.html
14,profile-console,Profile Console,PROFILE SUITE,P-01/P-11,profile.html,"seeker,owner,broker",Identity/account management,open-panel,profile-header/settings,account state,auth/profile layer,console-open,Tier 1,Normal Profile UI,MAPPED,profile.html
15,perk-portfolio-display,Perks & Portfolio Display,PROFILE SUITE,P-01,profile.html,"seeker,owner,broker",Perks/rank/portfolio,open-panel,profile-perks,loading/success/error,profile data layer,perk-open,Tier 1-2,Perks tab,MAPPED,profile.html
16,paypal-subscription-console,PayPal Subscription Console,PROFILE SUITE,P-01,profile.html,"seeker,owner,broker",Subscription,open/checkout,paypal-subscription-mount,idle/loading/approved/failed,PayPal server archive/checkpoints/webhook,subscription-open,Tier 1,Normal subscription button/panel,MAPPED,profile.html
17,message-terminal,Message Terminal,PROFILE SUITE,P-02,profile.html,"seeker,owner,broker",Send/read messages,open-panel,messages-ui,conversation state,messaging layer,terminal-open,Tier 1-2,Messages tab,MAPPED,profile.html
18,contracts-folder,Contracts Folder,PROFILE SUITE,P-03,profile.html,"seeker,owner,broker",Review/act on contracts,open-panel,contracts-ui,document/agreement/loading/error,contract/data layer,folder-open,Tier 1,Contracts tab,MAPPED,profile.html
19,help-desk,Help Desk,PROFILE SUITE,P-04,profile.html,"seeker,owner,broker",Need Help,open-panel,need-help-ui,form/loading/success/error,support/listing-help layer,desk-open,Tier 1,Help panel,MAPPED,profile.html
20,listing-book,Listing Book,PROFILE SUITE,P-05,profile.html,"owner,broker",Create/manage property listing,open-panel,listing-form-ui,form/validation/submission,api/data layer,book-open,Tier 1-2,Listing form,MAPPED,profile.html
21,wanted-notebook,Wanted Notebook,PROFILE SUITE,P-06,profile.html,"seeker,owner,broker",Create/manage wanted request,open-panel,wanted-form-ui,form/validation/submission,api/data layer,notebook-open,Tier 1-2,Wanted form,MAPPED,profile.html
