room_id,room_name,level,area,center_x,center_y,candidate_house,candidate_role,rationale
room-b782b02d-4ff3-45dc-af27-f2d63241bf17,Bathroom,2nd floor,59599.751991184574,5218.274629040103,137.49413918004694,HOUSE_3_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-8827c14a-c022-4d56-af87-13c17c63234a,Garage,1st floor,148060.2051184061,6101.543464040104,261.83464818004694,HOUSE_3_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-26c168c0-6605-4c50-9f6d-52960ec6f184,Bedrom #3,2nd floor,90021.69423115213,5786.429214040103,148.12989418004696,HOUSE_3_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-67c8e765-f65f-4a1f-844a-6fb298aa3d72,Bedroom #1,2nd floor,106187.83079056548,5723.955864040103,397.64060918004697,HOUSE_3_CANDIDATE,Owner / Seeker secondary presentation candidate,"Private-sized room may support focused profile/listing states, subject to UI density and route validation."
room-ad6fe449-b3fa-4f15-968e-df704d0177fd,Bedroom #2,2nd floor,97447.31116055744,5309.830864040103,427.68747418004693,HOUSE_3_CANDIDATE,Owner / Seeker secondary presentation candidate,"Private-sized room may support focused profile/listing states, subject to UI density and route validation."
room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,,2nd floor,10274.611376947374,5273.1986040401025,255.69451918004694,HOUSE_3_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
room-cb653607-5fd1-48ab-a0da-b4f960d3dcd0,Attic,Attic,445606.0856646898,5518.330864040103,261.50622418004696,HOUSE_3_CANDIDATE,Large shared presentation candidate,"Large attic zone can support dense presentation if access, camera framing and route feasibility are proven."
room-bb173adc-2bce-4d81-a5c7-78f7fccb437f,Kitchen,1st floor,204806.15362979725,5309.838999040103,261.51080418004693,HOUSE_3_CANDIDATE,Secondary presentation / support candidate,Named room with moderate area; retained as a possible secondary presentation zone.
room-3e5e5680-c98b-41df-bfa3-af4ff6cb9e44,Living Room,1st floor,249139.89431742972,5673.932014040103,263.38518918004695,HOUSE_3_CANDIDATE,Seeker / Owner shared presentation candidate,Largest clearly named presentation room in the eastern cluster; suitable for reusable UI states.
room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,,2nd floor,73791.95849843993,5486.398004040103,139.91253568004697,HOUSE_3_CANDIDATE,support / unclassified,Candidate inventory retained; exact presentation role deferred until topology and UI reconciliation.
