path,extension,path_batch,provisional_role
README.md,.md,Documentation / Project Guide,historical/suspect
HandOver.md,.md,Documentation / Project Guide,historical/suspect
AI_ASSISTANT_READ_ME.md,.md,Documentation / Project Guide,historical/suspect
masterplan.md,.md,Documentation / Project Guide,historical/suspect
Endorsement.md,.md,Documentation / Project Guide,historical/suspect
docs/SESSION_CONTINUATION_LOCK.md,.md,Documentation / Project Guide,historical/suspect
docs/md/verification-model.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/5.5f2-deep-additional-sh3d-census.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/5.5c-v5-baseline-integrity.md,.md,Documentation / Project Guide,historical/suspect
docs/md/data-authority.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/architecture-validation-reconciliation.md,.md,Documentation / Project Guide,historical/suspect
docs/md/index.md,.md,Documentation / Project Guide,historical/suspect
docs/md/m1-runtime-boundary-resolution.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/recovery-provenance.md,.md,Documentation / Project Guide,historical/suspect
docs/md/operating-guide.md,.md,Documentation / Project Guide,historical/suspect
docs/md/checkpoint-policy.md,.md,Documentation / Project Guide,historical/suspect
docs/md/sot-checkup.md,.md,Documentation / Project Guide,historical/suspect
docs/md/package-structure.md,.md,Documentation / Project Guide,historical/suspect
docs/md/m6-gate-lock.md,.md,Documentation / Project Guide,historical/suspect
docs/md/5.5e-spatial-reconciliation-proof.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/5.5f1-ui-physical-room-completeness.md,.md,Documentation / Project Guide,historical/suspect
docs/md/package-readme-archive.md,.md,Documentation / Project Guide,historical/suspect
docs/md/5.5d-three-house-allocation-presentation-contract.md,.md,Contracts,candidate canonical/supporting
docs/md/authority-model.md,.md,Security / Authentication,historical/suspect
docs/md/5.5c-v2-current-test-path-and-role-migration.md,.md,Documentation / Project Guide,historical/suspect
docs/md/project-authority.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/active-suite-failure-classification-2026-08-26.md,.md,Documentation / Project Guide,historical/suspect
docs/md/m0-to-p08-summary.md,.md,Documentation / Project Guide,historical/suspect
docs/md/route-authority.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/5.5c-v6-baseline-integrity-rejoin.md,.md,Documentation / Project Guide,historical/suspect
docs/md/dead-files-and-structure.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive-log.md,.md,Documentation / Project Guide,historical/suspect
docs/md/architecture-validation-reconciliation-results.md,.md,Documentation / Project Guide,historical/suspect
docs/md/g1-merge-2026-08-27.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/3d-authority.md,.md,Documentation / Project Guide,historical/suspect
docs/md/3d-model-census-verified.md,.md,Documentation / Project Guide,historical/suspect
docs/md/project-state.md,.md,Documentation / Project Guide,historical/suspect
docs/md/5.5c-v4-patch57-cinematic-test-path-reconciliation.md,.md,Documentation / Project Guide,historical/suspect
docs/md/5.5c-v3-historical-contract-reconciliation.md,.md,Contracts,historical/suspect
docs/md/camera-and-spatial-authority.md,.md,Documentation / Project Guide,historical/suspect
docs/md/g-series-complete-merge-2026-08-27.md,.md,Documentation / Project Guide,historical/suspect
docs/md/role-authority.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/cloudflare/README.md,.md,Documentation / Project Guide,historical/suspect
docs/md/cloudflare/archive/production-checklist.md,.md,Documentation / Project Guide,historical/suspect
docs/md/cloudflare/archive/patch-paypal-cloudflare-hardening.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/performance-accessibility.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/master-cross-system-matrix.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/responsive-browser-execution-2026-08-23.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/readme.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/project-map.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/public-profile-deployment-runbook.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/domain-dictionary.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/checkpoint-structure.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/market-profile-preview-note.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/ui-ownership.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/change-control.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/phase11-deploy-and-browser-gate.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/landmines-open-issues.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/main-hall-h01-h02-h03-h05-refinement.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/phase13-auth-propagation.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/theme-and-animation-root.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/document-organization-and-repair.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/security-drainage-and-hardening.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/responsive-qa-execution.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/design-roots-implementation.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/public-profile-projection.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/cinematic-principles.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/third-party-notices.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/public-read-surface-hardening.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/animation-object-responsive-contract.md,.md,Contracts,candidate canonical/supporting
docs/md/working-notes/legacy-compatibility-retirement.md,.md,Documentation / Project Guide,historical/suspect
docs/md/working-notes/phase12-animation-object-responsive.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/working-notes/public-profile-read-surface-gate.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/archive/verification/readme.md,.md,Verification / Tests,historical/suspect
docs/md/archive/verification/00-archive-and-evidence-policy.md,.md,Verification / Tests,historical/suspect
docs/md/archive/verification/37-main-hall-visual-tuning-review.md,.md,Verification / Tests,historical/suspect
docs/md/archive/working-notes/third-party-notices-full.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/evidence/2026-08-23-support-ticket-and-role-dive.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/evidence/2026-08-23-user-authority-data-graph.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/evidence/2026-08-23-attacker-capability-inventory.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/evidence/2026-08-23-firestore-ticket-notification-graph.md,.md,Backend / Firebase / Database,historical/suspect
docs/md/archive/evidence/2026-08-23-input-upload-hardening.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/evidence/2026-08-23-registration-suspension-hardening.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/evidence/2026-08-23-authority-audit.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/walkmyplan-pdf/A4.4C3.5_Physical_UI_Object_Printable.pdf,.pdf,Unclassified / Needs Review,historical/suspect
docs/md/archive/walkmyplan-pdf/A4.4C3.4_Hero_Composition_Printable.pdf,.pdf,Unclassified / Needs Review,historical/suspect
docs/md/archive/walkmyplan-pdf/A4.4C3.3_Camera_Door_Graph_Printable.pdf,.pdf,Unclassified / Needs Review,historical/suspect
docs/md/archive/working-notes-spatial/market-profile-physical-ui-propagation.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/working-notes-spatial/physical-ui-objects.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/working-notes-spatial/auth-physical-ui-propagation.md,.md,Security / Authentication,historical/suspect
docs/md/archive/working-notes-spatial/animation-camera-door-contract.md,.md,Contracts,historical/suspect
docs/md/archive/working-notes-spatial/main-hall-physical-ui-contract.md,.md,Contracts,historical/suspect
docs/md/archive/working-notes-spatial/spatial-reconciliation.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/working-notes-spatial/main-hall-camera-object-contract.md,.md,Contracts,historical/suspect
docs/md/archive/working-notes-spatial/main-hall-camera-tuning-phase13.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/working-notes-spatial/master-camera-contract.md,.md,Contracts,historical/suspect
docs/md/archive/archive/readme.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/09-sweethome3d-sot.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/10-sweethome3d-model-census.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/04-data-backend-authority.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/17-verification-testing.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/03-product-routes-roles.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/01-source-of-truth.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/36-phase8-integration-audit.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/18-roadmap.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/40-phase9-theme-security-repair.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/archive/37-phase10-public-profile-responsive-audit.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/reconciliation/2026-08-23-authority-migration.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/reconciliation/3d-authority-reconciliation.md,.md,Documentation / Project Guide,historical/suspect
docs/md/archive/stray/NEXT_PATCH-legacy.md,.md,Documentation / Project Guide,historical/suspect
docs/md/paypal/README.md,.md,Documentation / Project Guide,historical/suspect
docs/md/paypal/integrations-payments-edge.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/paypal/archive/production-paypal-cloudflare-contract.md,.md,Contracts,historical/suspect
docs/md/paypal/archive/admin-subscription-grant.md,.md,Documentation / Project Guide,historical/suspect
docs/md/contracts/README.md,.md,Contracts,candidate canonical/supporting
docs/md/contracts/authority.md,.md,Security / Authentication,candidate canonical/supporting
docs/md/reconciliation/README.md,.md,Documentation / Project Guide,historical/suspect
docs/md/reconciliation/page-binding-workplan.md,.md,Documentation / Project Guide,historical/suspect
docs/md/reconciliation/migration-reconciliation-report.md,.md,Documentation / Project Guide,historical/suspect
docs/md/reconciliation/pov-wiring-phase-one-living-note.md,.md,Documentation / Project Guide,historical/suspect
docs/md/reconciliation/pov-wiring-phase-one.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/reconciliation/living-authority-and-next-reconciliation.md,.md,Documentation / Project Guide,historical/suspect
docs/md/reconciliation/MASTER_SCENE_REFERENCE.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/firebase/README.md,.md,Backend / Firebase / Database,historical/suspect
docs/md/firebase/archive/firebase-supabase-deep-dive.md,.md,Backend / Firebase / Database,historical/suspect
docs/md/firebase/archive/firebase-supabase-authority.md,.md,Backend / Firebase / Database,historical/suspect
docs/md/supabase/README.md,.md,Documentation / Project Guide,historical/suspect
docs/md/supabase/architecture.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/supabase/operator-playbook-full.md,.md,Documentation / Project Guide,candidate canonical/supporting
docs/md/supabase/operator-playbook.md,.md,Documentation / Project Guide,historical/suspect
docs/csv/archive/verification/32_resilience_fallback_matrix.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/34_feature_wiring_route_coverage.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/main-hall-visual-tuning.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/38_security_leak_scan.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/31_responsive_qa_matrix.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/39_discrepancy_ledger.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/33_role_camera_security_matrix.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/35_security_and_wiring_test_status.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/verification/37_theme_token_audit.csv,.csv,Verification / Tests,historical/suspect
docs/csv/archive/walkmyplan/section-asset-binding.csv,.csv,Unclassified / Needs Review,historical/suspect
docs/csv/archive/walkmyplan/camera-door-graph.csv,.csv,Unclassified / Needs Review,historical/suspect
docs/csv/archive/walkmyplan/hero-composition-matrix.csv,.csv,Unclassified / Needs Review,historical/suspect
docs/csv/archive/walkmyplan/asset-readiness-matrix.csv,.csv,Unclassified / Needs Review,historical/suspect
docs/csv/archive/walkmyplan/operations-role-surface-matrix.csv,.csv,Unclassified / Needs Review,historical/suspect
docs/csv/archive/walkmyplan/spatial-reconciliation.csv,.csv,Unclassified / Needs Review,historical/suspect
