surface_id,route,camera_anchor,logical_door,role
main-hall/hero---home-environment,index.html,H-01,main-door,public
main-hall/search-console,index.html,H-02,market-door,public
main-hall/property-discovery,index.html,H-03,market-door,public
main-hall/map-preview,index.html,H-04,market-door,public
main-hall/government-housing,index.html,H-05,gov-door,public
main-hall/about---mission---guide---contact---footer,index.html,H-06..H-09,exit/contact doors,public
login-room/identity-terminal,login.html,L-01,profile-door,public
register-room/registration-desk,register.html,R-01,login-door,public
profile-suite/perks---portfolio,profile.html,P-01,—,authenticated
profile-suite/messages,profile.html,P-02,—,authenticated
profile-suite/contracts,profile.html,P-03,—,authenticated
profile-suite/need-help,profile.html,P-04,—,authenticated
profile-suite/list-property,profile.html,P-05,market-door,"owner,broker"
profile-suite/wanted,profile.html,P-06,market-door,"seeker,broker"
profile-suite/saved-properties,profile.html,P-07,market-door,"seeker,broker"
profile-suite/saved-wanted,profile.html,P-08,market-door,"owner,broker"
profile-suite/reviews,profile.html,P-09,—,authenticated
profile-suite/government-housing,profile.html,P-10,gov-door,"seeker,owner"
profile-suite/account---identity,profile.html,P-11,—,authenticated
profile-suite/broker-gate,profile.html,P-12,broker-hq-door,broker
market/entrance---directory,market.html,M-01,profile-door,"owner,seeker,broker"
market/map,market.html,M-02,—,"owner,seeker,broker"
market/filters,market.html,M-03,—,"owner,seeker,broker"
market/discovery,market.html,M-04,—,"owner,seeker,broker"
market/property-inspection,market.html,M-05,—,"owner,seeker,broker"
market/contact,market.html,M-06,profile-door,authenticated
broker-hq/desk,broker-hq.html,B-01,profile-door,broker
broker-hq/requests,broker-hq.html,B-02,—,broker
broker-hq/service-area,broker-hq.html,B-03,—,broker
broker-hq/intelligence-map,broker-hq.html,B-04,—,broker
broker-hq/discovery-wall,broker-hq.html,B-05,market-door,broker
broker-hq/service-pins,broker-hq.html,B-06,—,broker
operations/admin,admin.html,A-01,—,admin
operations/moderator,moderator.html,A-02,—,moderator
operations/staff,staff.html,A-03,—,staff
reference/government-housing-guide,financing.html,G-01,gov-door,public
reference/legal-library,privacy.html; terms.html,L-GL,legal-door,public
